Day,Lab Test,Confirmed case,Death Case
2021-November-02,20031,229,3
2021-November-03,19523,256,7
2021-November-04,18690,247,7
2021-November-05,17446,196,3
2021-November-06,13072,154,1
2021-November-07,15234,178,4
2021-November-08,16812,215,6
2021-November-09,17530,206,3
2021-November-10,17987,235,2
2021-November-11,19544,237,1
2021-November-12,17231,221,5
2021-November-13,13569,151,6
2021-November-14,19517,223,4
2021-November-15,17700,234,4
2021-November-16,20764,213,2
2021-November-17,19670,266,6
2021-November-18,18124,253,7
2021-November-19,15107,178,0
2021-November-20,19507,244,5
2021-November-21,17135,199,7
2021-November-22,18614,264,2
2021-November-23,19568,284,3
2021-November-24,21002,312,3
2021-November-25,18888,237,9
2021-November-26,16916,239,3
2021-November-27,13462,155,2
2021-November-28,19811,205,3
2021-November-29,16891,227,2
2021-November-30,19802,273,1
2021-December-01,18851,282,2
2021-December-02,21057,261,3
2021-December-03,17387,243,3
2021-December-04,16428,176,6
2021-December-05,19132,197,6
2021-December-06,19237,277,4
2021-December-07,20014,291,5
2021-December-08,20549,277,6
2021-December-09,21496,262,0
2021-December-10,20052,269,1
2021-December-11,15632,177,5
2021-December-12,21612,329,6
2021-December-13,22037,385,3
2021-December-14,22870,295,3
2021-December-15,28153,297,4
2021-December-16,25203,257,3
2021-December-17,16310,191,2
2021-December-18,13991,122,4
2021-December-19,19332,211,1
2021-December-20,19955,260,2
